Rating,Maximo Instalaciones
0.0,1142432981
1.0,2900620
1.1,70450098
1.2,15978024
1.3,43250476
1.4,104603017
1.5,63543470
1.6,162063136
1.7,111507333
1.8,275756869
1.9,263609141
2.0,295679623
2.1,366384057
2.2,397375016
2.3,7340331289
2.4,648307812
2.5,615412236
2.6,1107752049
2.7,1126609157
2.8,1425285194
2.9,1590552740
3.0,2134246320
3.1,4501118365
3.2,2844292250
3.3,4274196899
3.4,5411134843
3.5,8643064968
3.6,10826185439
3.7,14594154824
3.8,31805049934
3.9,31017148821
4.0,74597680512
4.1,82879789956
4.2,118825330423
4.3,105568219482
4.4,85515899122
4.5,71438196493
4.6,39565907498
4.7,18724492935
4.8,7245952322
4.9,1979477449
5.0,222001054
